Order_Number,Order_Status,Missed_LPNs
6032958710041045,Perfect,
6032964610080458,Perfect,
6032993710041390,Perfect,
6033018010041998,Perfect,
603302989814184,Perfect,
6033042210053140,Short,00100854129312599634
603305099854624,Perfect,
603305139854624,Perfect,
6033073910041200,Perfect,
6033096510069473,Short,"00100854129313863741, 00100854129313863772, 00100854129313863765, 00100854129313863758"
603311169759805,Perfect,
6033148510081200,Perfect,
6033309210082521,Perfect,
6033333510082635,Perfect,
6033642910087620,Short,00100854129314158914
6033658610087659,Perfect,
6033804910088556,Perfect,
6033877810089196,Short,"00100854129314158853, 00100854129314158846, 00100854129314158860"
603393689930340,Perfect,
6033937410003378,Perfect,
603393759985603,Perfect,
603393779985759,Perfect,
6033947010030177,Perfect,
6033947110030270,Short,00100854129313867572
6033947510038534,Perfect,
6033950110089725,Short,00100854129313870503
6033952410064504,Perfect,
6033957610067270,Short,00100854128239431683
6033958510070739,Short,00100854128239431799
6033958810079191,Perfect,
6033960110080162,Short,00100854129313864311
6034340410092139,Short,00100854129313864229
6034345410092160,Perfect,
6034346110092162,Perfect,
6034347810092178,Short,"00100854129313870558, 00100854129313870534"
6034348610092184,Perfect,
6034431210093198,Perfect,
6034488510093706,Perfect,
6034581910091726,Perfect,
6034636810094166,Perfect,
6034695810094320,Short,"00100854129314104348, 00100854129314104294"
6034708410093136,Perfect,
6034708910093144,Perfect,
6034710410094056,Short,00100854129313869842
6034716010093126,Short,"00100854129313634211, 00100854129313634457"
6034716110093126,Perfect,
6034718110093555,Short,00100854129313634464
6034753110093145,Perfect,
6034796710095310,Perfect,
6034847110095494,Perfect,
6034857410096299,Short,00100854129314127248
6034861610096387,Short,"00100854129314157979, 00100854129314157962"
6034864110096422,Short,"00100854129314158129, 00100854129314158112, 00100854129314158136"
6034865810096471,Short,"00100854129314159010, 00100854129314159003"
6034866810096501,Short,"00100854129314159041, 00100854129314159058, 00100854129314159034"
6034868910096500,Perfect,
6034869310096544,Perfect,
6034869610096613,Short,"00100854129314159355, 00100854129314159348, 00100854129314159362"
6034871010096692,Short,00100854129314158945
6034871110096698,Perfect,
6034871910096734,Perfect,
6034873110096807,Short,"00100854129314157924, 00100854129314157948, 00100854129314157931"
6034879310097239,Short,"00100854129314159027, 00100854129314159744, 00100854129314159737"
6034881210097279,Short,"00100854129314159188, 00100854129314159171, 00100854129314159195, 00100854129314159201"
6034883810097337,Short,"00100854129314159089, 00100854129314159072, 00100854129314159065"
6034884210097344,Short,"00100854129314159140, 00100854129314159164, 00100854129314159157"
6034885110097381,Short,"00100854129314159119, 00100854129314159126"
6034889510097499,Perfect,
6034889910097501,Perfect,
6034890510097524,Perfect,
6034890910097545,Perfect,
6034891410097556,Perfect,
6034892210097575,Short,"00100854129314159966, 00100854129314157917, 00100854129314157900"
6034892510097580,Perfect,
6034892910097591,Perfect,
6034894510097611,Short,00100854129313871500
6034894810097632,Short,"00100854129313809671, 00100854129313809633"
6034899010098062,Perfect,
6034899410098068,Perfect,
